Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
3178766873,1984,65980,2,1,1,512,1,1,30,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,14,ropeRotationWithCacheCopy
3178771001,1088,65985,,,,,,,,,,0.000,22.059,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
3178774265,29760,65990,32,1,1,64,1,1,160,0.009,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,14,processHeadsFlashAttention
3178805849,1152,65995,,,,,,,,,,0.000,20.833,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
3178808985,10528,66000,2048,1,1,32,1,1,48,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,14,matrixVectorGenericWithResidual
3178822233,1088,66005,,,,,,,,,,0.000,22.059,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
3178825817,1536,66010,8,1,1,256,1,1,20,0.001,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,14,reductionOneBlockWithLayer
3178830425,1088,66015,,,,,,,,,,0.000,22.059,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
3178834553,83040,66020,8192,1,1,32,1,1,64,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,14,fusedRmsNormFFNGateUp
3178920537,1088,66025,,,,,,,,,,0.000,22.059,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
3178924697,38304,66030,2048,1,1,32,1,1,48,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,14,matrixVectorGenericWithResidual
3178981401,320,66040,,,,,,,,,,0.000,75.000,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
3178984345,1792,66045,8,1,1,256,1,1,20,0.001,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,14,reductionOneBlockWithLayer
3178988729,1088,66050,,,,,,,,,,0.000,22.059,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
3178992537,1248,66055,8,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,14,mapContextWithQuantize
3178999609,352,66060,,,,,,,,,,0.000,68.182,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
3179002617,15040,66065,3072,1,1,32,1,1,48,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,14,fusedQKVMatmulX
3179022681,1120,66070,,,,,,,,,,0.000,21.429,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
3179025657,2080,66075,2,1,1,512,1,1,30,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,14,ropeRotationWithCacheCopy
3179029849,1120,66080,,,,,,,,,,0.000,21.429,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
3179034137,29184,66085,32,1,1,64,1,1,160,0.009,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,14,processHeadsFlashAttention
3179063897,1600,66090,,,,,,,,,,0.000,15.000,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
3179068057,10528,66095,2048,1,1,32,1,1,48,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,14,matrixVectorGenericWithResidual
3179081305,1088,66100,,,,,,,,,,0.000,22.059,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
3179085433,1568,66105,8,1,1,256,1,1,20,0.001,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,14,reductionOneBlockWithLayer
3179089497,1248,66110,,,,,,,,,,0.000,19.231,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
3179093625,83232,66115,8192,1,1,32,1,1,64,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,14,fusedRmsNormFFNGateUp
3179179609,1152,66120,,,,,,,,,,0.000,20.833,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
3179184761,38720,66125,2048,1,1,32,1,1,48,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,14,matrixVectorGenericWithResidual
3179243321,352,66135,,,,,,,,,,0.000,68.182,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
3179246297,1728,66140,8,1,1,256,1,1,20,0.001,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,14,reductionOneBlockWithLayer
3179252025,352,66145,,,,,,,,,,0.000,68.182,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
3179255225,1312,66150,8,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,14,mapContextWithQuantize
3179262713,352,66155,,,,,,,,,,0.000,68.182,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
3179265689,15264,66160,3072,1,1,32,1,1,48,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,14,fusedQKVMatmulX
3179285177,1152,66165,,,,,,,,,,0.000,20.833,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
3179288601,2016,66170,2,1,1,512,1,1,30,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,14,ropeRotationWithCacheCopy
3179293945,1536,66175,,,,,,,,,,0.000,15.625,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,14,[CUDA memcpy Host-to-Device]
