Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
848227444,384,530,,,,,,,,,,0.000,62.500,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,15,[CUDA memcpy Host-to-Device]
848243380,215650,535,32,1,1,1024,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,19,computeSmall
848271956,6016,540,,,,,,,,,,0.131,21789.841,Device,Pinned,NVIDIA GeForce RTX 4090 (0),1,,20,[CUDA memcpy Device-to-Host]
848294325,6048,545,,,,,,,,,,0.131,21674.483,Device,Pinned,NVIDIA GeForce RTX 4090 (0),1,,20,[CUDA memcpy Device-to-Host]
848316469,6112,550,,,,,,,,,,0.131,21447.570,Device,Pinned,NVIDIA GeForce RTX 4090 (0),1,,20,[CUDA memcpy Device-to-Host]
848337557,6208,555,,,,,,,,,,0.131,21115.917,Device,Pinned,NVIDIA GeForce RTX 4090 (0),1,,20,[CUDA memcpy Device-to-Host]
848359797,6176,560,,,,,,,,,,0.131,21225.376,Device,Pinned,NVIDIA GeForce RTX 4090 (0),1,,20,[CUDA memcpy Device-to-Host]
848380981,6176,565,,,,,,,,,,0.131,21225.376,Device,Pinned,NVIDIA GeForce RTX 4090 (0),1,,20,[CUDA memcpy Device-to-Host]
848399350,6016,570,,,,,,,,,,0.131,21789.841,Device,Pinned,NVIDIA GeForce RTX 4090 (0),1,,20,[CUDA memcpy Device-to-Host]
848463126,6112,575,,,,,,,,,,0.131,21447.570,Device,Pinned,NVIDIA GeForce RTX 4090 (0),1,,20,[CUDA memcpy Device-to-Host]
852816794,7968,602,,,,,,,,,,0.131,16451.806,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,15,[CUDA memcpy Host-to-Device]
852830618,7872,606,,,,,,,,,,0.131,16652.371,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,15,[CUDA memcpy Host-to-Device]
852877947,352,610,,,,,,,,,,0.000,68.182,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,15,[CUDA memcpy Host-to-Device]
852900635,216066,615,32,1,1,1024,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,16,computeSmall
852930235,7968,619,,,,,,,,,,0.131,16451.806,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,15,[CUDA memcpy Host-to-Device]
852940091,8576,623,,,,,,,,,,0.131,15285.385,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,15,[CUDA memcpy Host-to-Device]
852982779,384,627,,,,,,,,,,0.000,62.500,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,15,[CUDA memcpy Host-to-Device]
852998556,215905,632,32,1,1,1024,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,17,computeSmall
853025372,7968,636,,,,,,,,,,0.131,16451.806,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,15,[CUDA memcpy Host-to-Device]
853035164,7968,640,,,,,,,,,,0.131,16451.806,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,15,[CUDA memcpy Host-to-Device]
853088380,384,644,,,,,,,,,,0.000,62.500,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,15,[CUDA memcpy Host-to-Device]
853105052,215746,649,32,1,1,1024,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,18,computeSmall
853129853,7776,653,,,,,,,,,,0.131,16857.917,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,15,[CUDA memcpy Host-to-Device]
853139005,7968,657,,,,,,,,,,0.131,16451.806,Pinned,Device,NVIDIA GeForce RTX 4090 (0),1,,15,[CUDA memcpy Host-to-Device]
